stock_code,short_name,exchange,list_date,板块
000001,平安银行,SZ,1991-04-03,深市主板
000002,万科Ａ,SZ,1991-01-29,深市主板
000004,*ST国华,SZ,1990-12-01,深市主板
000006,深振业Ａ,SZ,1992-04-27,深市主板
000008,神州高铁,SZ,1992-05-07,深市主板
000009,中国宝安,SZ,1991-06-25,深市主板
000010,美丽生态,SZ,1995-10-27,深市主板
000011,深物业A,SZ,1992-03-30,深市主板
000012,南玻Ａ,SZ,1992-02-28,深市主板
000014,沙河股份,SZ,1992-06-02,深市主板
000017,深中华A,SZ,1992-03-31,深市主板
000019,深粮控股,SZ,1992-10-12,深市主板
000020,深华发Ａ,SZ,1992-04-28,深市主板
000025,特力Ａ,SZ,1993-06-21,深市主板
000026,飞亚达,SZ,1993-06-03,深市主板
000027,深圳能源,SZ,1993-09-03,深市主板
000028,国药一致,SZ,1993-08-09,深市主板
000030,富奥股份,SZ,1993-09-29,深市主板
000032,深桑达Ａ,SZ,1993-10-28,深市主板
000034,神州数码,SZ,1994-05-09,深市主板
000035,中国天楹,SZ,1994-04-08,深市主板
000036,华联控股,SZ,1994-06-17,深市主板
000037,深南电A,SZ,1994-07-01,深市主板
000042,中洲控股,SZ,1994-09-21,深市主板
000045,深纺织Ａ,SZ,1994-08-15,深市主板
000048,京基智农,SZ,1994-11-01,深市主板
000049,德赛电池,SZ,1995-03-20,深市主板
000050,深天马Ａ,SZ,1995-03-15,深市主板
000055,方大集团,SZ,1996-04-15,深市主板
000058,深赛格,SZ,1996-12-26,深市主板
000059,华锦股份,SZ,1997-01-30,深市主板
000063,中兴通讯,SZ,1997-11-18,深市主板
000066,中国长城,SZ,1997-06-26,深市主板
000068,华控赛格,SZ,1997-06-11,深市主板
000069,华侨城Ａ,SZ,1997-09-10,深市主板
000088,盐田港,SZ,1997-07-28,深市主板
000089,深圳机场,SZ,1998-04-20,深市主板
000090,天健集团,SZ,1999-07-21,深市主板
000096,广聚能源,SZ,2000-07-24,深市主板
000099,中信海直,SZ,2000-07-31,深市主板
000100,TCL科技,SZ,2004-01-30,深市主板
000151,中成股份,SZ,2000-09-06,深市主板
000153,丰原药业,SZ,2000-09-20,深市主板
000155,川能动力,SZ,2000-09-26,深市主板
000156,华数传媒,SZ,2000-09-06,深市主板
000158,常山北明,SZ,2000-07-24,深市主板
000159,国际实业,SZ,2000-09-26,深市主板
000166,申万宏源,SZ,2015-01-26,深市主板
000333,美的集团,SZ,2013-09-18,深市主板
000400,许继电气,SZ,1997-04-18,深市主板
000401,金隅冀东,SZ,1996-06-14,深市主板
000402,金融街,SZ,1996-06-26,深市主板
000403,派林生物,SZ,1996-06-28,深市主板
000404,长虹华意,SZ,1996-06-19,深市主板
000407,胜利股份,SZ,1996-07-03,深市主板
000409,云鼎科技,SZ,1996-06-27,深市主板
000411,英特集团,SZ,1996-07-16,深市主板
000419,通程控股,SZ,1996-08-16,深市主板
000421,南京公用,SZ,1996-08-06,深市主板
000423,东阿阿胶,SZ,1996-07-29,深市主板
000428,华天酒店,SZ,1996-08-08,深市主板
000429,粤高速Ａ,SZ,1998-02-20,深市主板
000498,山东路桥,SZ,1997-06-09,深市主板
000501,武商集团,SZ,1992-11-20,深市主板
000503,国新健康,SZ,1992-11-30,深市主板
000504,*ST生物,SZ,1992-12-08,深市主板
000505,京粮控股,SZ,1992-12-21,深市主板
000507,珠海港,SZ,1993-03-26,深市主板
000509,华塑控股,SZ,1993-05-07,深市主板
