stock_code,short_name,exchange,list_date
000001,平安银行,SZ,1991-04-03
000002,万科Ａ,SZ,1991-01-29
000004,*ST国华,SZ,1990-12-01
000006,深振业Ａ,SZ,1992-04-27
000008,神州高铁,SZ,1992-05-07
000009,中国宝安,SZ,1991-06-25
000010,美丽生态,SZ,1995-10-27
000011,深物业A,SZ,1992-03-30
000012,南玻Ａ,SZ,1992-02-28
000014,沙河股份,SZ,1992-06-02
000017,深中华A,SZ,1992-03-31
000019,深粮控股,SZ,1992-10-12
000020,深华发Ａ,SZ,1992-04-28
000025,特力Ａ,SZ,1993-06-21
000026,飞亚达,SZ,1993-06-03
000027,深圳能源,SZ,1993-09-03
000028,国药一致,SZ,1993-08-09
000030,富奥股份,SZ,1993-09-29
000032,深桑达Ａ,SZ,1993-10-28
000034,神州数码,SZ,1994-05-09
000035,中国天楹,SZ,1994-04-08
000036,华联控股,SZ,1994-06-17
000037,深南电A,SZ,1994-07-01
000042,中洲控股,SZ,1994-09-21
000045,深纺织Ａ,SZ,1994-08-15
000048,京基智农,SZ,1994-11-01
000049,德赛电池,SZ,1995-03-20
000050,深天马Ａ,SZ,1995-03-15
000055,方大集团,SZ,1996-04-15
000058,深赛格,SZ,1996-12-26
000059,华锦股份,SZ,1997-01-30
000063,中兴通讯,SZ,1997-11-18
000066,中国长城,SZ,1997-06-26
000068,华控赛格,SZ,1997-06-11
000069,华侨城Ａ,SZ,1997-09-10
000088,盐田港,SZ,1997-07-28
000089,深圳机场,SZ,1998-04-20
000090,天健集团,SZ,1999-07-21
000096,广聚能源,SZ,2000-07-24
000099,中信海直,SZ,2000-07-31
000100,TCL科技,SZ,2004-01-30
000151,中成股份,SZ,2000-09-06
000153,丰原药业,SZ,2000-09-20
000155,川能动力,SZ,2000-09-26
000156,华数传媒,SZ,2000-09-06
000158,常山北明,SZ,2000-07-24
000159,国际实业,SZ,2000-09-26
000166,申万宏源,SZ,2015-01-26
000333,美的集团,SZ,2013-09-18
000400,许继电气,SZ,1997-04-18
000401,金隅冀东,SZ,1996-06-14
000402,金融街,SZ,1996-06-26
000403,派林生物,SZ,1996-06-28
000404,长虹华意,SZ,1996-06-19
000407,胜利股份,SZ,1996-07-03
000409,云鼎科技,SZ,1996-06-27
000411,英特集团,SZ,1996-07-16
000419,通程控股,SZ,1996-08-16
000421,南京公用,SZ,1996-08-06
000423,东阿阿胶,SZ,1996-07-29
000428,华天酒店,SZ,1996-08-08
000429,粤高速Ａ,SZ,1998-02-20
000498,山东路桥,SZ,1997-06-09
000501,武商集团,SZ,1992-11-20
000503,国新健康,SZ,1992-11-30
000504,*ST生物,SZ,1992-12-08
000505,京粮控股,SZ,1992-12-21
000507,珠海港,SZ,1993-03-26
000509,华塑控股,SZ,1993-05-07
000513,丽珠集团,SZ,1993-10-28
000514,渝开发,SZ,1993-07-12
000517,荣安地产,SZ,1993-08-06
000518,*ST四环,SZ,1993-09-08
000521,长虹美菱,SZ,1993-10-18
000524,岭南控股,SZ,1993-11-18
000526,学大教育,SZ,1993-11-01
000528,柳工,SZ,1993-11-18
000529,广弘控股,SZ,1993-11-18
000531,穗恒运Ａ,SZ,1994-01-06
000532,华金资本,SZ,1994-01-03
000534,万泽股份,SZ,1994-01-10
000537,绿发电力,SZ,1993-12-10
000538,云南白药,SZ,1993-12-15
000539,粤电力Ａ,SZ,1993-11-26
000541,佛山照明,SZ,1993-11-23
000543,皖能电力,SZ,1993-12-20
000544,中原环保,SZ,1993-12-08
000550,江铃汽车,SZ,1993-12-01
000551,创元科技,SZ,1994-01-06
000552,甘肃能化,SZ,1994-01-06
000554,泰山石油,SZ,1993-12-15
000555,神州信息,SZ,1994-04-08
000557,西部创业,SZ,1994-06-17
000558,天府文旅,SZ,1994-05-09
000561,烽火电子,SZ,1994-05-09
000563,陕国投Ａ,SZ,1994-01-10
000564,供销大集,SZ,1994-01-10
000567,海德股份,SZ,1994-05-25
000568,泸州老窖,SZ,1994-05-09
000576,甘化科工,SZ,1994-09-07
000582,北部湾港,SZ,1995-11-02
000586,汇源通信,SZ,1995-12-20
000590,古汉医药,SZ,1996-01-19
000591,太阳能,SZ,1996-02-08
000593,德龙汇能,SZ,1996-03-12
000596,古井贡酒,SZ,1996-09-27
000597,东北制药,SZ,1996-05-23
000598,兴蓉环境,SZ,1996-05-29
000601,韶能股份,SZ,1996-08-30
000607,华媒控股,SZ,1996-08-30
000608,*ST阳光,SZ,1996-09-19
000615,*ST美谷,SZ,1996-10-16
000617,中油资本,SZ,1996-10-22
000623,吉林敖东,SZ,1996-10-28
000625,长安汽车,SZ,1997-06-10
000626,远大控股,SZ,1996-11-28
000628,高新发展,SZ,1996-11-18
000636,风华高科,SZ,1996-11-29
000637,茂化实华,SZ,1996-11-14
000639,西王食品,SZ,1996-11-26
000650,仁和药业,SZ,1996-12-10
000651,格力电器,SZ,1996-11-18
000652,泰达股份,SZ,1996-11-28
000656,*ST金科,SZ,1996-11-28
000661,长春高新,SZ,1996-12-18
000663,永安林业,SZ,1996-12-06
000665,湖北广电,SZ,1996-12-10
000669,ST金鸿,SZ,1996-12-10
000676,智度股份,SZ,1996-12-24
000679,大连友谊,SZ,1997-01-24
000681,视觉中国,SZ,1997-01-21
000685,中山公用,SZ,1997-01-23
000686,东北证券,SZ,1997-02-27
000690,宝新能源,SZ,1997-01-28
000691,*ST亚太,SZ,1997-02-28
000692,惠天热电,SZ,1997-02-27
000698,ST沈化,SZ,1997-02-20
000702,正虹科技,SZ,1997-03-18
000705,浙江震元,SZ,1997-04-10
000711,ST京蓝,SZ,1997-04-11
000712,锦龙股份,SZ,1997-04-15
000713,国投丰乐,SZ,1997-04-22
000715,中兴商业,SZ,1997-05-08
000716,黑芝麻,SZ,1997-04-18
000718,苏宁环球,SZ,1997-04-08
000719,中原传媒,SZ,1997-03-31
000720,新能泰山,SZ,1997-05-09
000721,西安饮食,SZ,1997-04-30
000722,湖南发展,SZ,1997-05-22
000723,美锦能源,SZ,1997-05-15
000725,京东方Ａ,SZ,2001-01-12
000726,鲁泰Ａ,SZ,2000-12-25
000727,冠捷科技,SZ,1997-05-20
000728,国元证券,SZ,1997-06-16
000729,燕京啤酒,SZ,1997-07-16
